#번호,설치목적구분,카메라대수,카메라화소수,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
4891,생활방범,3,200,30,17-Nov,02-2148-4301,37.574578,127.011885,2020-06-30
4892,생활방범,3,200,30,17-Nov,02-2148-4301,37.576102,127.011119,2020-06-30
4893,생활방범,3,200,30,17-Nov,02-2148-4301,37.577107,127.009593,2020-06-30
4894,생활방범,3,200,30,17-Nov,02-2148-4301,37.575949,127.009241,2020-06-30
4895,생활방범,3,200,30,17-Nov,02-2148-4301,37.577597,127.009114,2020-06-30
4896,생활방범,2,200,30,19-Nov,02-2148-4301,37.582964,127.005136,2020-06-30
4897,생활방범,3,200,30,20-Feb,02-2148-4301,37.58754,126.9691,2020-06-30
4898,생활방범,3,200,30,20-Feb,02-2148-4301,37.579661,126.96793,2020-06-30
4899,생활방범,2,200,30,20-Feb,02-2148-4301,37.582676,126.968046,2020-06-30
4900,생활방범,3,200,30,20-Feb,02-2148-4301,37.581471,126.9646,2020-06-30
4901,생활방범,3,200,30,20-Feb,02-2148-4301,37.578611,126.981531,2020-06-30
4902,생활방범,3,200,30,20-Feb,02-2148-4301,37.577662,126.980388,2020-06-30
4903,생활방범,3,200,30,20-Feb,02-2148-4301,37.606606,126.958453,2020-06-30
4904,생활방범,2,200,30,20-Feb,02-2148-4301,37.573391,126.961301,2020-06-30
4905,생활방범,2,200,30,20-Feb,02-2148-4301,37.575359,126.962916,2020-06-30
4906,생활방범,4,200,30,20-Feb,02-2148-4301,37.581485,126.988505,2020-06-30
4907,생활방범,3,200,30,20-Feb,02-2148-4301,37.572769,126.99117,2020-06-30
4908,생활방범,3,200,30,20-Feb,02-2148-4301,37.573105,126.990141,2020-06-30
4909,생활방범,4,200,30,20-Feb,02-2148-4301,37.572899,126.989921,2020-06-30
4910,생활방범,3,200,30,20-Feb,02-2148-4301,37.570487,126.989352,2020-06-30
4911,생활방범,4,200,30,20-Feb,02-2148-4301,37.575784,127.006598,2020-06-30
4912,생활방범,3,200,30,20-Feb,02-2148-4301,37.590224,126.991488,2020-06-30
4913,생활방범,2,200,30,20-Feb,02-2148-4301,37.572722,127.017954,2020-06-30
4914,생활방범,3,200,30,20-Feb,02-2148-4301,37.577618,127.010471,2020-06-30
4915,생활방범,4,200,30,20-Feb,02-2148-4301,37.578145,127.02103,2020-06-30
4916,생활방범,1,200,30,11-Nov,02-2148-4301,37.59128,126.99451,2020-06-30
4917,생활방범,1,200,30,12-Aug,02-2148-4301,37.591208,126.989959,2020-06-30
4918,생활방범,1,200,30,12-Aug,02-2148-4301,37.59185,126.992858,2020-06-30
4919,생활방범,1,200,30,12-Aug,02-2148-4301,37.592161,126.996075,2020-06-30
4920,생활방범,1,200,30,12-Aug,02-2148-4301,37.582144,126.9637,2020-06-30
4921,생활방범,1,200,30,12-Aug,02-2148-4301,37.582513,126.963871,2020-06-30
4922,생활방범,1,200,30,12-Aug,02-2148-4301,37.582416,126.962273,2020-06-30
4923,생활방범,1,200,30,12-Aug,02-2148-4301,37.583002,126.96201,2020-06-30
4924,생활방범,1,200,30,12-Aug,02-2148-4301,37.578101,127.017751,2020-06-30
4925,생활방범,1,200,30,12-Aug,02-2148-4301,37.57695,127.018381,2020-06-30
4926,생활방범,1,200,30,12-Aug,02-2148-4301,37.575513,127.01842,2020-06-30
4927,생활방범,1,200,30,12-Aug,02-2148-4301,37.591294,126.966323,2020-06-30
4928,생활방범,1,200,30,12-Aug,02-2148-4301,37.589449,126.96531,2020-06-30
4929,생활방범,1,200,30,15-Jun,02-2148-4301,37.584655,126.996847,2020-06-30
4930,생활방범,1,200,30,15-Jun,02-2148-4301,37.56959,126.980935,2020-06-30
4931,생활방범,1,200,30,15-Jun,02-2148-4301,37.583061,127.004854,2020-06-30
4932,생활방범,1,200,30,15-Jun,02-2148-4301,37.577917,127.020336,2020-06-30
4933,생활방범,1,200,30,15-Jun,02-2148-4301,37.571253,126.994187,2020-06-30
4934,생활방범,1,200,30,15-Jun,02-2148-4301,37.570798,126.993991,2020-06-30
4935,생활방범,1,200,30,15-Jun,02-2148-4301,37.571266,126.994817,2020-06-30
4936,생활방범,1,200,30,15-Jun,02-2148-4301,37.571715,126.994795,2020-06-30
4937,생활방범,1,200,30,15-Jun,02-2148-4301,37.572014,126.994778,2020-06-30
4938,생활방범,1,200,30,15-Jun,02-2148-4301,37.571605,126.994274,2020-06-30
4939,생활방범,1,200,30,15-Jun,02-2148-4301,37.57197,126.993832,2020-06-30
4940,생활방범,1,200,30,16-Jul,02-2148-4301,37.571999,126.995828,2020-06-30
4941,생활방범,1,200,30,16-Jul,02-2148-4301,37.571478,126.996078,2020-06-30
4942,생활방범,1,200,30,16-Jul,02-2148-4301,37.571799,126.995826,2020-06-30
4943,생활방범,1,200,30,16-Jul,02-2148-4301,37.571097,126.995511,2020-06-30
4944,생활방범,1,200,30,16-Jul,02-2148-4301,37.571509,126.979839,2020-06-30
4945,생활방범,1,200,30,16-Jul,02-2148-4301,37.577911,127.013097,2020-06-30
4946,생활방범,1,200,30,17-Apr,02-2148-4301,37.577351,127.018073,2020-06-30
4947,생활방범,1,200,30,17-Apr,02-2148-4301,37.577203,127.017796,2020-06-30
4948,생활방범,2,200,30,17-Apr,02-2148-4301,37.571141,126.965223,2020-06-30
4949,생활방범,2,200,30,17-Apr,02-2148-4301,37.571393,126.964725,2020-06-30
4950,생활방범,3,200,30,17-Apr,02-2148-4301,37.570119,126.965642,2020-06-30
4951,생활방범,1,200,30,17-Apr,02-2148-4301,37.569777,126.965404,2020-06-30
4952,생활방범,1,200,30,17-Apr,02-2148-4301,37.575249,127.018082,2020-06-30
4953,생활방범,3,200,30,18-May,02-2148-4301,37.592305,126.964666,2020-06-30
4954,생활방범,1,200,30,18-May,02-2148-4301,37.582575,126.962601,2020-06-30
4955,생활방범,1,200,30,18-Jan,02-2148-4301,37.578039,127.018219,2020-06-30
4956,생활방범,1,200,30,18-Jan,02-2148-4301,37.577665,127.017991,2020-06-30
4957,생활방범,2,200,30,18-Nov,02-2148-4301,37.343331,127.043848,2020-06-30
4958,생활방범,1,200,30,18-Nov,02-2148-4301,37.343297,127.044593,2020-06-30
4959,생활방범,1,200,30,18-Nov,02-2148-4301,37.343305,127.04531,2020-06-30
4960,생활방범,1,200,30,18-Nov,02-2148-4301,37.34321,127.045353,2020-06-30
4961,생활방범,1,200,30,18-Nov,02-2148-4301,37.343191,127.044726,2020-06-30
4962,생활방범,1,200,30,12-Aug,02-2148-4301,37.601845,126.981154,2020-06-30
4963,생활방범,1,200,30,13-Dec,02-2148-4301,37.578896,126.96322,2020-06-30
4964,생활방범,1,200,30,13-Dec,02-2148-4301,37.579652,126.964202,2020-06-30
4965,생활방범,1,200,30,13-Dec,02-2148-4301,37.592123,126.967374,2020-06-30
4966,생활방범,1,200,30,13-Dec,02-2148-4301,37.575322,126.963582,2020-06-30
4967,생활방범,1,200,30,13-Dec,02-2148-4301,37.576618,126.96558,2020-06-30
4968,생활방범,3,200,30,17-Jan,02-2155-6098,37.4792,126.99191,2020-10-01
4969,생활방범,1,200,30,17-Jan,02-2155-6098,37.47921,126.99193,2020-10-01
4970,생활방범,2,200,30,17-Jan,02-2155-6098,37.47919,126.99194,2020-10-01
4971,생활방범,1,200,30,17-Jan,02-2155-6098,37.49271,126.99196,2020-10-01
4972,생활방범,1,200,30,17-Jan,02-2155-6098,37.48146,126.99201,2020-10-01
4973,생활방범,2,200,30,17-Jan,02-2155-6098,37.48144,126.99202,2020-10-01
4974,생활방범,3,200,30,17-Jan,02-2155-6098,37.48146,126.99204,2020-10-01
4975,생활방범,1,200,30,17-Jan,02-2155-6098,37.48732,126.99302,2020-10-01
4976,생활방범,2,200,30,17-Jan,02-2155-6098,37.4873,126.99303,2020-10-01
4977,생활방범,3,200,30,17-Jan,02-2155-6098,37.48732,126.99304,2020-10-01
4978,생활방범,2,200,30,17-Jan,02-2155-6098,37.49315,126.99344,2020-10-01
4979,생활방범,1,200,30,17-Jan,02-2155-6098,37.49315,126.99346,2020-10-01
4980,생활방범,3,200,30,17-Jan,02-2155-6098,37.49316,126.99348,2020-10-01
4981,생활방범,1,200,30,17-Jan,02-2155-6098,37.485,126.99374,2020-10-01
4982,생활방범,2,200,30,17-Jan,02-2155-6098,37.48499,126.99374,2020-10-01
4983,생활방범,2,200,30,17-Jan,02-2155-6098,37.47223,126.99399,2020-10-01
4984,생활방범,2,200,30,17-Jan,02-2155-6098,37.48413,126.99505,2020-10-01
4985,생활방범,1,200,30,17-Jan,02-2155-6098,37.48411,126.99506,2020-10-01
4986,생활방범,1,200,30,17-Jan,02-2155-6098,37.48751,126.99576,2020-10-01
4987,생활방범,2,200,30,17-Jan,02-2155-6098,37.48694,126.99586,2020-10-01
4988,생활방범,1,200,30,17-Jan,02-2155-6098,37.48693,126.99587,2020-10-01
4989,생활방범,1,200,30,17-Jan,02-2155-6098,37.48736,126.99599,2020-10-01
4990,생활방범,2,200,30,17-Jan,02-2155-6098,37.4851,126.99615,2020-10-01
4991,생활방범,1,200,30,17-Jan,02-2155-6098,37.48509,126.99616,2020-10-01
4992,생활방범,2,200,30,17-Jan,02-2155-6098,37.48608,126.9964,2020-10-01
4993,생활방범,1,200,30,17-Jan,02-2155-6098,37.48608,126.99641,2020-10-01
4994,생활방범,3,200,30,17-Jan,02-2155-6098,37.48607,126.99642,2020-10-01
4995,생활방범,1,200,30,17-Jan,02-2155-6098,37.48552,126.99677,2020-10-01
4996,생활방범,1,200,30,17-Jan,02-2155-6098,37.48549,126.99678,2020-10-01
4997,생활방범,2,200,30,17-Jan,02-2155-6098,37.4855,126.9968,2020-10-01
4998,생활방범,1,200,30,17-Jan,02-2155-6098,37.49327,127.00076,2020-10-01
4999,생활방범,2,200,30,17-Jan,02-2155-6098,37.49592,127.0013,2020-10-01
5000,생활방범,3,200,30,17-Jan,02-2155-6098,37.49591,127.00131,2020-10-01
5001,생활방범,1,200,30,17-Jan,02-2155-6098,37.49592,127.00131,2020-10-01
5002,생활방범,3,200,30,17-Jan,02-2155-6098,37.49768,127.00139,2020-10-01
5003,생활방범,2,200,30,17-Jan,02-2155-6098,37.49769,127.00139,2020-10-01
5004,생활방범,1,200,30,17-Jan,02-2155-6098,37.49768,127.0014,2020-10-01
5005,생활방범,4,200,30,17-Jan,02-2155-6098,37.49767,127.0014,2020-10-01
5006,생활방범,3,200,30,17-Jan,02-2155-6098,37.49419,127.00152,2020-10-01
5007,생활방범,1,200,30,17-Jan,02-2155-6098,37.4942,127.00152,2020-10-01
5008,생활방범,2,200,30,17-Jan,02-2155-6098,37.4942,127.00153,2020-10-01
5009,생활방범,1,200,30,17-Jan,02-2155-6098,37.49788,127.00178,2020-10-01
5010,생활방범,4,200,30,17-Jan,02-2155-6098,37.48601,127.00518,2020-10-01
5011,생활방범,2,200,30,17-Jan,02-2155-6098,37.486,127.00519,2020-10-01
5012,생활방범,3,200,30,16-Dec,02-2148-4301,37.582994,126.965788,2020-06-30
5013,생활방범,3,200,30,17-Sep,02-2148-4301,37.576586,127.006559,2020-06-30
5014,생활방범,3,200,30,17-Sep,02-2148-4301,37.575675,127.005975,2020-06-30
5015,생활방범,3,200,30,17-Sep,02-2148-4301,37.575179,127.00736,2020-06-30
5016,생활방범,1,200,30,,02-2148-4301,37.590934,126.966281,2020-06-30
5017,생활방범,1,200,30,,02-2148-4301,37.584089,126.963892,2020-06-30
5018,생활방범,1,200,30,,02-2148-4301,37.58273,126.961464,2020-06-30
5019,생활방범,1,200,30,,02-2148-4301,37.57951,127.01033,2020-06-30
5020,생활방범,1,200,30,,02-2148-4301,37.57416,127.000968,2020-06-30
5021,생활방범,1,200,30,,02-2148-4301,37.57385,126.981121,2020-06-30
5022,생활방범,1,200,30,,02-2148-4301,37.571051,126.965933,2020-06-30
5023,생활방범,1,200,30,,02-2148-4301,37.571806,126.965553,2020-06-30
5024,생활방범,1,200,30,,02-2148-4301,37.575664,127.018135,2020-06-30
5025,생활방범,1,200,30,,02-2148-4301,37.573057,127.00869,2020-06-30
5026,생활방범,1,200,30,,02-2148-4301,37.572536,127.008603,2020-06-30
5027,생활방범,1,200,30,,02-2148-4301,37.570144,126.96963,2020-06-30
5028,생활방범,1,200,30,,02-2148-4301,37.576618,126.96558,2020-06-30
5029,생활방범,1,200,30,,02-2148-4301,37.575322,126.963582,2020-06-30
5030,생활방범,1,200,30,,02-2148-4301,37.592123,126.967374,2020-06-30
5031,생활방범,1,200,30,,02-2148-4301,37.579652,126.964202,2020-06-30
5032,생활방범,1,200,30,,02-2148-4301,37.578896,126.96322,2020-06-30
5033,생활방범,1,200,30,,02-2148-4301,37.601845,126.981154,2020-06-30
5034,생활방범,1,200,30,,02-2148-4301,37.589449,126.96531,2020-06-30
5035,생활방범,1,200,30,,02-2148-4301,37.591294,126.966323,2020-06-30
5036,생활방범,1,200,30,,02-2148-4301,37.575513,127.01842,2020-06-30
5037,생활방범,1,200,30,,02-2148-4301,37.57695,127.018381,2020-06-30
5038,생활방범,1,200,30,,02-2148-4301,37.578101,127.017751,2020-06-30
5039,생활방범,1,200,30,,02-2148-4301,37.583002,126.96201,2020-06-30
5040,생활방범,1,200,30,,02-2148-4301,37.582416,126.962273,2020-06-30
5041,생활방범,1,200,30,,02-2148-4301,37.582513,126.963871,2020-06-30
5042,생활방범,1,200,30,,02-2148-4301,37.582144,126.9637,2020-06-30
5043,생활방범,1,200,30,,02-2148-4301,37.592161,126.996075,2020-06-30
5044,생활방범,1,200,30,,02-2148-4301,37.59185,126.992858,2020-06-30
5045,생활방범,1,200,30,17-Jan,02-2155-6098,37.48601,127.0052,2020-10-01
5046,생활방범,3,200,30,17-Jan,02-2155-6098,37.48602,127.0052,2020-10-01
5047,생활방범,4,200,30,17-Jan,02-2155-6098,37.4873,127.00906,2020-10-01
5048,생활방범,2,200,30,17-Jan,02-2155-6098,37.48731,127.00906,2020-10-01
5049,생활방범,1,200,30,17-Jan,02-2155-6098,37.4873,127.00907,2020-10-01
5050,생활방범,3,200,30,17-Jan,02-2155-6098,37.4873,127.00907,2020-10-01
5051,생활방범,5,200,30,17-Jan,02-2155-6098,37.48731,127.00908,2020-10-01
5052,생활방범,3,200,30,17-Jan,02-2155-6098,37.50372,127.00924,2020-10-01
5053,생활방범,1,200,30,17-Jan,02-2155-6098,37.50372,127.00925,2020-10-01
5054,생활방범,2,200,30,17-Jan,02-2155-6098,37.50373,127.00927,2020-10-01
5055,생활방범,1,200,30,17-Jan,02-2155-6098,37.50365,127.00939,2020-10-01
5056,생활방범,2,200,30,17-Jan,02-2155-6098,37.51276,127.01112,2020-10-01
5057,생활방범,1,200,30,17-Jan,02-2155-6098,37.51277,127.01113,2020-10-01
5058,생활방범,3,200,30,17-Jan,02-2155-6098,37.51277,127.01114,2020-10-01
5059,생활방범,1,200,30,17-Jan,02-2155-6098,37.48907,127.01328,2020-10-01
5060,생활방범,2,200,30,17-Jan,02-2155-6098,37.48908,127.0133,2020-10-01
5061,생활방범,2,200,30,17-Jan,02-2155-6098,37.4889,127.01333,2020-10-01
5062,생활방범,1,200,30,17-Jan,02-2155-6098,37.48889,127.01333,2020-10-01
5063,생활방범,3,200,30,17-Jan,02-2155-6098,37.48889,127.01334,2020-10-01
5064,생활방범,3,200,30,17-Jan,02-2155-6098,37.48518,127.01385,2020-10-01
5065,생활방범,1,200,30,17-Jan,02-2155-6098,37.48517,127.01386,2020-10-01
5066,생활방범,4,200,30,17-Jan,02-2155-6098,37.48516,127.01386,2020-10-01
5067,생활방범,2,200,30,17-Jan,02-2155-6098,37.48518,127.01387,2020-10-01
5068,생활방범,1,200,30,17-Jan,02-2155-6098,37.51693,127.01667,2020-10-01
5069,생활방범,2,200,30,17-Jan,02-2155-6098,37.51694,127.01668,2020-10-01
5070,생활방범,1,200,30,17-Jan,02-2155-6098,37.5168,127.01687,2020-10-01
5071,생활방범,2,200,30,17-Jan,02-2155-6098,37.51414,127.01708,2020-10-01
5072,생활방범,1,200,30,17-Jan,02-2155-6098,37.51415,127.01709,2020-10-01
5073,생활방범,3,200,30,17-Jan,02-2155-6098,37.51415,127.0171,2020-10-01
5074,생활방범,2,200,30,17-Jan,02-2155-6098,37.48932,127.01782,2020-10-01
5075,생활방범,1,200,30,17-Jan,02-2155-6098,37.48932,127.01783,2020-10-01
5076,생활방범,3,200,30,17-Jan,02-2155-6098,37.48931,127.01784,2020-10-01
5077,생활방범,1,200,30,17-Jan,02-2155-6098,37.48863,127.01817,2020-10-01
5078,생활방범,1,200,30,17-Jan,02-2155-6098,37.50885,127.01817,2020-10-01
5079,생활방범,2,200,30,17-Jan,02-2155-6098,37.49447,127.01818,2020-10-01
5080,생활방범,3,200,30,17-Jan,02-2155-6098,37.49446,127.01819,2020-10-01
5081,생활방범,1,200,30,17-Jan,02-2155-6098,37.49447,127.0182,2020-10-01
5082,생활방범,1,200,30,17-Jan,02-2155-6098,37.48943,127.01821,2020-10-01
5083,생활방범,1,200,30,17-Jan,02-2155-6098,37.48728,127.01865,2020-10-01
5084,생활방범,2,200,30,17-Jan,02-2155-6098,37.48717,127.0188,2020-10-01
5085,생활방범,1,200,30,17-Jan,02-2155-6098,37.48717,127.01882,2020-10-01
5086,생활방범,2,200,30,17-Jan,02-2155-6098,37.5153,127.01894,2020-10-01
5087,생활방범,1,200,30,17-Jan,02-2155-6098,37.5153,127.01896,2020-10-01
5088,생활방범,1,200,30,17-Jan,02-2155-6098,37.4646,127.0196,2020-10-01
5089,생활방범,1,200,30,,02-2148-4301,37.591208,126.989959,2020-06-30
5090,생활방범,1,200,30,,02-2148-4301,37.59128,126.99451,2020-06-30
5091,생활방범,3,200,30,,02-2148-4301,37.576551,126.965679,2020-06-30
5092,생활방범,3,200,30,,02-2148-4301,37.578781,127.008671,2020-06-30
5093,생활방범,3,200,30,,02-2148-4301,37.575458,127.012668,2020-06-30
5094,생활방범,1,200,30,18-Nov,02-2148-4301,37.343206,127.044485,2020-06-30
5095,생활방범,1,200,30,18-Nov,02-2148-4301,37.573764,126.960071,2020-06-30
5096,생활방범,3,200,30,19-Nov,02-2148-4301,37.57108,126.973609,2020-06-30
5097,생활방범,3,200,30,19-Nov,02-2148-4301,37.570882,126.973726,2020-06-30
5098,생활방범,3,200,30,19-Nov,02-2148-4301,37.58221,126.968211,2020-06-30
5099,생활방범,1,200,30,14-Jan,02-2148-4301,37.573627,127.006691,2020-06-30
5100,생활방범,1,200,30,14-Jan,02-2148-4301,37.578408,127.01472,2020-06-30
5101,생활방범,1,200,30,14-Jan,02-2148-4301,37.578836,127.010898,2020-06-30
5102,생활방범,1,200,30,14-Jan,02-2148-4301,37.581338,127.013139,2020-06-30
5103,생활방범,1,200,30,14-Jan,02-2148-4301,37.582172,127.01465,2020-06-30
5104,생활방범,1,200,30,14-Jan,02-2148-4301,37.579708,127.017096,2020-06-30
5105,생활방범,1,200,30,14-Jan,02-2148-4301,37.578789,127.007179,2020-06-30
5106,생활방범,1,200,30,14-Jan,02-2148-4301,37.589438,127.001478,2020-06-30
5107,생활방범,1,200,30,14-Jan,02-2148-4301,37.574144,127.001246,2020-06-30
5108,생활방범,1,200,30,14-Jan,02-2148-4301,37.586262,127.002023,2020-06-30
5109,생활방범,1,200,30,14-Jan,02-2148-4301,37.575196,126.987028,2020-06-30
5110,생활방범,1,200,30,14-Jan,02-2148-4301,37.580055,126.985093,2020-06-30
5111,생활방범,1,200,30,14-Jan,02-2148-4301,37.581354,126.969487,2020-06-30
5112,생활방범,1,200,30,14-Jan,02-2148-4301,37.579399,126.972013,2020-06-30
5113,생활방범,1,200,30,14-Jan,02-2148-4301,37.585046,126.97106,2020-06-30
5114,생활방범,1,200,30,14-Jan,02-2148-4301,37.588517,126.966223,2020-06-30
5115,생활방범,1,200,30,14-Jan,02-2148-4301,37.599704,126.959064,2020-06-30
5116,생활방범,1,200,30,14-Jan,02-2148-4301,37.600788,126.956861,2020-06-30
5117,생활방범,1,200,30,14-Jan,02-2148-4301,37.584074,126.968901,2020-06-30
5118,생활방범,1,200,30,14-Jan,02-2148-4301,37.574546,126.964512,2020-06-30
5119,생활방범,1,200,30,14-Jan,02-2148-4301,37.579366,126.986666,2020-06-30
5120,생활방범,1,200,30,15-Aug,02-2148-4301,37.602735,126.960755,2020-06-30
5121,생활방범,1,200,30,15-Aug,02-2148-4301,37.603958,126.961269,2020-06-30
5122,생활방범,2,200,30,17-Jan,02-2155-6098,37.46459,127.01962,2020-10-01
5123,생활방범,2,200,30,17-Jan,02-2155-6098,37.49148,127.02051,2020-10-01
5124,생활방범,1,200,30,17-Jan,02-2155-6098,37.49148,127.02052,2020-10-01
5125,생활방범,3,200,30,17-Jan,02-2155-6098,37.49149,127.02052,2020-10-01
5126,생활방범,1,200,30,17-Jan,02-2155-6098,37.45694,127.02106,2020-10-01
5127,생활방범,2,200,30,17-Jan,02-2155-6098,37.45694,127.02109,2020-10-01
5128,생활방범,3,200,30,17-Jan,02-2155-6098,37.48762,127.0217,2020-10-01
5129,생활방범,1,200,30,17-Jan,02-2155-6098,37.48762,127.02171,2020-10-01
5130,생활방범,2,200,30,17-Jan,02-2155-6098,37.48762,127.02173,2020-10-01
5131,생활방범,3,200,30,17-Jan,02-2155-6098,37.5064,127.02256,2020-10-01
5132,생활방범,1,200,30,17-Jan,02-2155-6098,37.5064,127.02257,2020-10-01
5133,생활방범,2,200,30,17-Jan,02-2155-6098,37.50639,127.02257,2020-10-01
5134,생활방범,4,200,30,17-Jan,02-2155-6098,37.50466,127.02266,2020-10-01
5135,생활방범,3,200,30,17-Jan,02-2155-6098,37.50467,127.02267,2020-10-01
5136,생활방범,1,200,30,17-Jan,02-2155-6098,37.50466,127.02268,2020-10-01
5137,생활방범,2,200,30,17-Jan,02-2155-6098,37.50467,127.02269,2020-10-01
5138,생활방범,1,200,30,17-Jan,02-2155-6098,37.48425,127.02335,2020-10-01
5139,생활방범,1,200,30,17-Jan,02-2155-6098,37.48383,127.0236,2020-10-01
5140,생활방범,1,200,30,17-Jan,02-2155-6098,37.48405,127.02382,2020-10-01
5141,생활방범,2,200,30,17-Jan,02-2155-6098,37.48406,127.02383,2020-10-01
5142,생활방범,3,200,30,17-Jan,02-2155-6098,37.47289,127.02641,2020-10-01
5143,생활방범,1,200,30,17-Jan,02-2155-6098,37.47288,127.02643,2020-10-01
5144,생활방범,2,200,30,17-Jan,02-2155-6098,37.47288,127.02645,2020-10-01
5145,생활방범,1,200,30,17-Jan,02-2155-6098,37.47292,127.02709,2020-10-01
5146,생활방범,1,200,30,17-Jan,02-2155-6098,37.46686,127.03434,2020-10-01
5147,생활방범,1,200,30,17-Jan,02-2155-6098,37.46753,127.03473,2020-10-01
5148,생활방범,2,200,30,17-Jan,02-2155-6098,37.46753,127.03474,2020-10-01
5149,생활방범,3,200,30,17-Jan,02-2155-6098,37.46754,127.03474,2020-10-01
5150,생활방범,3,200,30,17-Jan,02-2155-6098,37.48248,127.03736,2020-10-01
5151,생활방범,1,200,30,17-Jan,02-2155-6098,37.48247,127.03738,2020-10-01
5152,생활방범,2,200,30,17-Jan,02-2155-6098,37.48248,127.0374,2020-10-01
5153,생활방범,3,200,30,17-Jan,02-2155-6098,37.46992,127.04264,2020-10-01
5154,생활방범,1,200,30,17-Jan,02-2155-6098,37.46993,127.04265,2020-10-01
5155,생활방범,2,200,30,17-Jan,02-2155-6098,37.46993,127.04266,2020-10-01
5156,생활방범,3,200,30,17-Jan,02-2155-6098,37.46983,127.0443,2020-10-01
5157,생활방범,1,200,30,17-Jan,02-2155-6098,37.46984,127.04432,2020-10-01
5158,생활방범,4,200,30,17-Jan,02-2155-6098,37.46984,127.04433,2020-10-01
5159,생활방범,2,200,30,17-Jan,02-2155-6098,37.46982,127.04433,2020-10-01
5160,생활방범,2,200,30,17-Jan,02-2155-6098,37.47079,127.04487,2020-10-01
5161,생활방범,1,200,30,17-Jan,02-2155-6098,37.47078,127.04489,2020-10-01
5162,생활방범,2,200,30,17-Jan,02-2155-6098,37.4719,127.0464,2020-10-01
5163,생활방범,1,200,30,17-Jan,02-2155-6098,37.47189,127.04642,2020-10-01
5164,생활방범,3,200,30,17-Jan,02-2155-6098,37.47188,127.04643,2020-10-01
5165,생활방범,2,200,30,17-Jan,02-2155-6098,37.47062,127.04795,2020-10-01
5166,생활방범,1,200,30,15-Aug,02-2148-4301,37.57692,126.967844,2020-06-30
5167,생활방범,1,200,30,15-Aug,02-2148-4301,37.577185,126.969199,2020-06-30
5168,생활방범,1,200,30,15-Aug,02-2148-4301,37.589234,126.997408,2020-06-30
5169,생활방범,1,200,30,15-Aug,02-2148-4301,37.574683,127.013793,2020-06-30
5170,생활방범,1,200,30,15-Aug,02-2148-4301,37.586269,126.968635,2020-06-30
5171,생활방범,1,200,30,15-Aug,02-2148-4301,37.574305,127.00332,2020-06-30
5172,생활방범,1,200,30,15-Aug,02-2148-4301,37.591126,126.995144,2020-06-30
5173,생활방범,1,200,30,15-Aug,02-2148-4301,37.614766,126.977086,2020-06-30
5174,생활방범,1,200,30,15-Aug,02-2148-4301,37.611546,126.95634,2020-06-30
5175,생활방범,1,200,30,15-Aug,02-2148-4301,37.583757,126.967316,2020-06-30
5176,생활방범,1,200,30,16-Jun,02-2148-4301,37.574936,126.970238,2020-06-30
5177,생활방범,1,200,30,16-Jun,02-2148-4301,37.598687,126.960875,2020-06-30
5178,생활방범,1,200,30,16-Jun,02-2148-4301,37.601661,126.962604,2020-06-30
5179,생활방범,1,200,30,16-Jun,02-2148-4301,37.574975,127.019838,2020-06-30
5180,생활방범,1,200,30,16-Jun,02-2148-4301,37.580694,126.967469,2020-06-30
5181,생활방범,3,200,30,18-Feb,02-2148-4301,37.574175,126.987573,2020-06-30
5182,생활방범,1,200,30,,02-2148-4301,37.574144,127.001246,2020-06-30
5183,생활방범,3,200,30,,02-2148-4301,37.58221,126.968211,2020-06-30
5184,생활방범,1,200,30,,02-2148-4301,37.343206,127.044485,2020-06-30
5185,생활방범,1,200,30,,02-2148-4301,37.343191,127.044726,2020-06-30
5186,생활방범,1,200,30,,02-2148-4301,37.34321,127.045353,2020-06-30
5187,생활방범,1,200,30,,02-2148-4301,37.343305,127.04531,2020-06-30
5188,생활방범,1,200,30,,02-2148-4301,37.343297,127.044593,2020-06-30
5189,생활방범,2,200,30,,02-2148-4301,37.343331,127.043848,2020-06-30
5190,생활방범,1,200,30,,02-2148-4301,37.577665,127.017991,2020-06-30
5191,생활방범,1,200,30,,02-2148-4301,37.578039,127.018219,2020-06-30
5192,생활방범,1,200,30,,02-2148-4301,37.582575,126.962601,2020-06-30
5193,생활방범,3,200,30,,02-2148-4301,37.592305,126.964666,2020-06-30
5194,생활방범,1,200,30,,02-2148-4301,37.575249,127.018082,2020-06-30
5195,생활방범,1,200,30,,02-2148-4301,37.569777,126.965404,2020-06-30
5196,생활방범,3,200,30,,02-2148-4301,37.570119,126.965642,2020-06-30
5197,생활방범,2,200,30,,02-2148-4301,37.571393,126.964725,2020-06-30
5198,생활방범,1,200,30,17-Jan,02-2155-6098,37.47021,127.04796,2020-10-01
5199,생활방범,1,200,30,17-Jan,02-2155-6098,37.47063,127.04796,2020-10-01
5200,생활방범,4,200,30,17-Jan,02-2155-6098,37.47235,127.04947,2020-10-01
5201,생활방범,3,200,30,17-Jan,02-2155-6098,37.47237,127.04947,2020-10-01
5202,생활방범,1,200,30,17-Jan,02-2155-6098,37.47236,127.04949,2020-10-01
5203,생활방범,2,200,30,17-Jan,02-2155-6098,37.47237,127.04951,2020-10-01
5204,생활방범,3,200,30,17-Jan,02-2155-6098,37.46292,127.04992,2020-10-01
5205,생활방범,1,200,30,17-Jan,02-2155-6098,37.46293,127.04993,2020-10-01
